No,Card,CardNumber,Set,Printing,ExpectedGrade,Justification,PSA_Lower_Grade,PSA_Lower_Avg,PSA_Lower_Med,PSA_Lower_Count,PSA_Lower_Confidence,PSA_Expected_Grade,PSA_Expected_Avg,PSA_Expected_Med,PSA_Expected_Count,PSA_Expected_Confidence,PSA_Upper_Grade,PSA_Upper_Avg,PSA_Upper_Med,PSA_Upper_Count,PSA_Upper_Confidence,Raw_NM_Price,Grading_Cost,Value_Uplift,Net_ROI,ROI_Percent,Is_Selected_Variant,All_Printings_Found
73,Dugtrio,10/165,Expedition,Holofoil,8,"Top front stain, holo scratch, white dot back corner",7,,,0,low,8,,,0,low,9,,,0,low,61.55,20,,,,Y,Holofoil (SM Base Set); Normal (SM - Unbroken Bonds); Normal (SM - Ultra Prism); Normal (XY Base Set); Normal (XY - Evolutions); Holofoil (Crystal Guardians); Normal (Generations); Normal (Secret Wonders); Normal (Platinum); Holofoil (ME: Ascended Heroes); 1st Edition (Team Rocket); Normal (FireRed & LeafGreen); Holofoil (SV08: Surging Sparks); Normal (Triumphant); Normal (SM - Lost Thunder); Normal (SV08: Surging Sparks); Normal (SM - Unbroken Bonds); Normal (SV03: Obsidian Flames); Reverse Holofoil (ME: Ascended Heroes); Reverse Holofoil (ME: Ascended Heroes); Normal (ME: Ascended Heroes); Normal (SWSH01: Sword & Shield Base Set); Holofoil (Blister Exclusives); Normal (SWSH03: Darkness Ablaze); Normal (SWSH06: Chilling Reign); 1st Edition Holofoil (Team Rocket); Normal (Skyridge); Normal (SV: Scarlet & Violet 151); Normal (Expedition); Normal (Base Set 2); 1st Edition (Gym Challenge); Normal (Base Set); 1st Edition (Base Set (Shadowless)); Holofoil (McDonald's Promos 2019); Holofoil (Expedition); Normal (Deck Exclusives)
74,Butterfree,51/165,Expedition,Normal,5,"Top corner indent, back left indent, pin mark, small whitening",4,,,0,low,5,,,0,low,6,,,0,low,12.63,20,,,,Y,Normal (Expedition)
75,Raichu,H25/H32,Skyridge,Holofoil,8,Back whitening,7,,,0,low,8,380.00,380.00,1,low,9,407.50,495.00,5,high,139.99,20,240.01,220.01,137.5,Y,Holofoil (SM Promos); Holofoil (Jumbo Cards); Holofoil (SM Promos); Holofoil (SM Promos); Holofoil (Jumbo Cards); Normal (Battle Academy); Normal (Battle Academy); Holofoil (SM Promos); Holofoil (Jumbo Cards); Holofoil (SM Promos); Reverse Holofoil (Jumbo Cards); Normal (Generations: Radiant Collection); Holofoil (Skyridge); Holofoil (Diamond and Pearl Promos); Holofoil (Stormfront); Holofoil (Sandstorm); Holofoil (Emerald); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Holofoil (Undaunted); 1st Edition Holofoil (Team Rocket); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Holofoil (Stormfront); Normal (Supreme Victors); Holofoil (Shining Legends); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Normal (SM - Cosmic Eclipse); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Holofoil (SM - Unified Minds); Normal (SM - Unbroken Bonds); Holofoil (SM - Unified Minds); Normal (World Championship Decks); Normal (Holon Phantoms); Holofoil (XY - BREAKthrough); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (SM Trainer Kit: Lycanroc & Alolan Raichu); Normal (XY - BREAKthrough); Normal (Majestic Dawn); Holofoil (XY Base Set); Holofoil (SM - Burning Shadows); Normal (Next Destinies)
76,Crobat,H5/H32,Skyridge,Holofoil,9,Tiny dot at the corner of the back,8,,,0,low,9,,,0,low,10,,,0,low,78.74,20,,,,Y,Holofoil (XY Promos); Holofoil (SWSH11: Lost Origin Trainer Gallery); Holofoil (SWSH: Sword & Shield Promo Cards); Holofoil (Jumbo Cards); Holofoil (SWSH: Sword & Shield Promo Cards); Holofoil (SWSH: Sword & Shield Promo Cards); Holofoil (Skyridge); Holofoil (Black and White Promos); Holofoil (Black and White Promos); Holofoil (Deoxys); Holofoil (Unleashed); Holofoil (SM - Unbroken Bonds); Holofoil (SM Base Set); Holofoil (Plasma Storm); Normal (Platinum); Normal (World Championship Decks); Normal (World Championship Decks); Normal (World Championship Decks); Normal (World Championship Decks); Normal (World Championship Decks); Normal (World Championship Decks); Normal (XY - Phantom Forces); Normal (World Championship Decks); Normal (World Championship Decks); Holofoil (Team Rocket Returns); Holofoil (Hidden Legends); Holofoil (SV10: Destined Rivals); Holofoil (SV10: Destined Rivals); Normal (Mysterious Treasures); Holofoil (SV10: Destined Rivals); Holofoil (Delta Species); Holofoil (SWSH03: Darkness Ablaze); Holofoil (Skyridge); Normal (Unleashed); Holofoil (Prize Pack Series Cards); Holofoil (SV10: Destined Rivals); Normal (SV04: Paradox Rift); Holofoil (SWSH12: Silver Tempest); Holofoil (SWSH03: Darkness Ablaze); Holofoil (Prize Pack Series Cards); Normal (World Championship Decks); Normal (Deck Exclusives); Holofoil (SWSH05: Battle Styles); Normal (Prize Pack Series Cards); Normal (Deck Exclusives); Holofoil (Blister Exclusives); Holofoil (Shining Fates); Holofoil (Shining Fates); 1st Edition Holofoil (Neo Revelation); Holofoil (Miscellaneous Cards & Products)
76,Crobat,H5/H32,Skyridge,Holofoil,10,Tiny dot at the corner of the back,9,,,0,low,10,,,0,low,N/A,,,0,N/A,78.74,20,,,,Y,Holofoil (XY Promos); Holofoil (SWSH11: Lost Origin Trainer Gallery); Holofoil (SWSH: Sword & Shield Promo Cards); Holofoil (Jumbo Cards); Holofoil (SWSH: Sword & Shield Promo Cards); Holofoil (SWSH: Sword & Shield Promo Cards); Holofoil (Skyridge); Holofoil (Black and White Promos); Holofoil (Black and White Promos); Holofoil (Deoxys); Holofoil (Unleashed); Holofoil (SM - Unbroken Bonds); Holofoil (SM Base Set); Holofoil (Plasma Storm); Normal (Platinum); Normal (World Championship Decks); Normal (World Championship Decks); Normal (World Championship Decks); Normal (World Championship Decks); Normal (World Championship Decks); Normal (World Championship Decks); Normal (XY - Phantom Forces); Normal (World Championship Decks); Normal (World Championship Decks); Holofoil (Team Rocket Returns); Holofoil (Hidden Legends); Holofoil (SV10: Destined Rivals); Holofoil (SV10: Destined Rivals); Normal (Mysterious Treasures); Holofoil (SV10: Destined Rivals); Holofoil (Delta Species); Holofoil (SWSH03: Darkness Ablaze); Holofoil (Skyridge); Normal (Unleashed); Holofoil (Prize Pack Series Cards); Holofoil (SV10: Destined Rivals); Normal (SV04: Paradox Rift); Holofoil (SWSH12: Silver Tempest); Holofoil (SWSH03: Darkness Ablaze); Holofoil (Prize Pack Series Cards); Normal (World Championship Decks); Normal (Deck Exclusives); Holofoil (SWSH05: Battle Styles); Normal (Prize Pack Series Cards); Normal (Deck Exclusives); Holofoil (Blister Exclusives); Holofoil (Shining Fates); Holofoil (Shining Fates); 1st Edition Holofoil (Neo Revelation); Holofoil (Miscellaneous Cards & Products)
77,Typhlosion,28/165,Expedition,Holofoil,5,"Front top and left indent, back indent and whitening",4,,,0,low,5,,,0,low,6,81.25,81.25,2,medium,101.00,20,,,,Y,Holofoil (SWSH: Sword & Shield Promo Cards); Holofoil (SM Promos); Holofoil (HGSS Promos); Holofoil (Sandstorm); Holofoil (SM - Lost Thunder); Normal (Call of Legends); Normal (HeartGold SoulSilver); Holofoil (XY - BREAKthrough); Holofoil (SWSH10: Astral Radiance); Holofoil (SV10: Destined Rivals); Holofoil (Unseen Forces); Holofoil (SWSH10: Astral Radiance); Holofoil (Mysterious Treasures); Holofoil (Dragon Frontiers); Normal (World Championship Decks); Holofoil (HeartGold SoulSilver); Holofoil (Unseen Forces); Normal (Expedition); Normal (Expedition); Holofoil (SWSH10: Astral Radiance); Holofoil (SWSH10: Astral Radiance); Holofoil (Miscellaneous Cards & Products); Holofoil (SWSH10: Astral Radiance); Normal (Deck Exclusives); Holofoil (Miscellaneous Cards & Products); Holofoil (Miscellaneous Cards & Products); Holofoil (SV10: Destined Rivals); Normal (Prize Pack Series Cards); Holofoil (Nintendo Promos); Holofoil (Deck Exclusives); Holofoil (Deck Exclusives); Holofoil (Expedition); Holofoil (Blister Exclusives); 1st Edition Holofoil (Neo Genesis); Normal (Deck Exclusives); 1st Edition Holofoil (Neo Genesis); 1st Edition Holofoil (Neo Destiny); Normal (Miscellaneous Cards & Products)
78,Tentacruel,H26/H32,Aquapolis,Holofoil,8,Whitening dot at corner and left back,7,167.50,167.50,2,medium,8,163.00,145.00,5,high,9,204.06,204.06,2,medium,95.83,20,67.17,47.17,40.7,Y,Holofoil (Aquapolis); Normal (Legends Awakened); Normal (XY - Primal Clash); Normal (SM - Team Up); Normal (Hidden Legends); Normal (Triumphant); Normal (Legend Maker); Normal (Nintendo Promos); 1st Edition (Fossil); Normal (SM - Unbroken Bonds); Normal (SM - Guardians Rising); Normal (Southern Islands); Normal (SV: Scarlet & Violet 151); Normal (Legendary Collection); Normal (Aquapolis); Normal (SWSH07: Evolving Skies); 1st Edition Holofoil (Gym Heroes)
79,Sandslash,93/144,Skyridge,Normal,7,Whitening at the back,6,,,0,low,7,,,0,low,8,,,0,low,9.82,20,,,,Y,Normal (Skyridge)
79,Sandslash,93/144,Skyridge,Normal,8,Whitening at the back,7,,,0,low,8,,,0,low,9,,,0,low,9.82,20,,,,Y,Normal (Skyridge)
80,Bellossom,H5/H32,Aquapolis,Holofoil,9,White dot at the back,8,,,0,low,9,26.97,26.97,2,medium,10,,,0,low,72.33,20,-45.36,-65.36,-70.8,Y,Holofoil (Aquapolis); Normal (XY - Ancient Origins); Normal (Boundaries Crossed); Holofoil (Unseen Forces); Normal (Legends Awakened); Normal (Holon Phantoms); Normal (World Championship Decks); Normal (Hidden Legends); Holofoil (Undaunted); Normal (Aquapolis); Holofoil (Miscellaneous Cards & Products); Normal (SV03: Obsidian Flames); Normal (Crown Zenith); 1st Edition Holofoil (Neo Genesis); Normal (Deck Exclusives)
81,Machamp,16/165,Expedition,Holofoil,8,"Holo light scratch, back whitening",7,,,0,low,8,,,0,low,9,99.00,99.00,1,low,69.29,20,,,,Y,Normal (Expedition); Holofoil (Expedition)
82,Arcanine,H2/H32,Aquapolis,Holofoil,9,"Holo scratch, white dot at top back",8,176.00,104.50,8,high,9,99.79,89.99,7,high,10,212.50,212.50,2,medium,499.99,20,-400.20,-420.20,-80.8,Y,Holofoil (Jumbo Cards); Holofoil (XY Promos); Holofoil (SWSH11: Lost Origin Trainer Gallery); Normal (SWSH: Sword & Shield Promo Cards); Holofoil (Aquapolis); Holofoil (Skyridge); Holofoil (Legend Maker); Holofoil (Detective Pikachu); Normal (Supreme Victors); Holofoil (SV01: Scarlet & Violet Base Set); Holofoil (SM - Unbroken Bonds); Holofoil (SM Base Set); Normal (Secret Wonders); Normal (FireRed & LeafGreen); Normal (XY - Evolutions); Holofoil (SWSH12: Silver Tempest); Normal (Sandstorm); Normal (Supreme Victors); Normal (Next Destinies); Normal (Next Destinies); Holofoil (Black and White Promos); Holofoil (Black and White Promos); Normal (XY - BREAKpoint); Holofoil (SV06: Twilight Masquerade); Holofoil (Blister Exclusives); Holofoil (HeartGold SoulSilver); Normal (EX Trainer Kit 2: Plusle & Minun); Holofoil (Rising Rivals); Holofoil (Prize Pack Series Cards); Holofoil (SWSH12: Silver Tempest); Normal (Prize Pack Series Cards); Normal (Deck Exclusives); Holofoil (SWSH11: Lost Origin); Normal (SWSH10: Astral Radiance); Normal (WoTC Promo); Normal (SV: Scarlet & Violet 151); Normal (Legendary Collection); Normal (SWSH08: Fusion Strike); Normal (Base Set 2); Holofoil (SV01: Scarlet & Violet Base Set); Normal (SWSH02: Rebel Clash); Normal (SV10: Destined Rivals); Normal (Base Set); 1st Edition (Base Set (Shadowless)); Holofoil (Blister Exclusives); Normal (SWSH12: Silver Tempest); Holofoil (Deck Exclusives); Reverse Holofoil (League & Championship Cards); 1st Edition Holofoil (Neo Destiny); Holofoil (SV: Scarlet & Violet Promo Cards)
83,Dark Venusaur,1,Best of Promos,Normal,9,Whitening at the back,8,92.82,92.00,10,high,9,154.04,110.21,15,high,10,371.87,289.87,5,high,106.20,20,47.84,27.84,22.1,Y,Normal (Best of Promos)
84,Xatu,H32/H32,Skyridge,Holofoil,9,Tiny dot back corner,8,212.25,212.00,4,medium,9,249.99,249.99,1,low,10,,,0,low,200.00,20,49.99,29.99,13.6,Y,Holofoil (Skyridge); Normal (SM - Lost Thunder); Normal (SM - Cosmic Eclipse); Normal (Legendary Treasures); Normal (Sandstorm); Normal (EX Battle Stadium); 1st Edition (Neo Discovery); Normal (Unseen Forces); Normal (Secret Wonders); Normal (XY - Roaring Skies); Normal (Deoxys); Normal (Dragon Frontiers); Holofoil (SV: Paldean Fates); Holofoil (Unleashed); Holofoil (Blister Exclusives); Normal (SWSH02: Rebel Clash); Normal (Deck Exclusives); Normal (Prize Pack Series Cards); Holofoil (SV04: Paradox Rift); Holofoil (SV: Scarlet & Violet Promo Cards); Holofoil (SV: Scarlet & Violet Promo Cards); 1st Edition (Neo Genesis); Normal (Skyridge); Normal (Pokemon GO); Holofoil (SV: Paldean Fates)
84,Xatu,H32/H32,Skyridge,Holofoil,10,Tiny dot back corner,9,249.99,249.99,1,low,10,,,0,low,N/A,,,0,N/A,200.00,20,,,,Y,Holofoil (Skyridge); Normal (SM - Lost Thunder); Normal (SM - Cosmic Eclipse); Normal (Legendary Treasures); Normal (Sandstorm); Normal (EX Battle Stadium); 1st Edition (Neo Discovery); Normal (Unseen Forces); Normal (Secret Wonders); Normal (XY - Roaring Skies); Normal (Deoxys); Normal (Dragon Frontiers); Holofoil (SV: Paldean Fates); Holofoil (Unleashed); Holofoil (Blister Exclusives); Normal (SWSH02: Rebel Clash); Normal (Deck Exclusives); Normal (Prize Pack Series Cards); Holofoil (SV04: Paradox Rift); Holofoil (SV: Scarlet & Violet Promo Cards); Holofoil (SV: Scarlet & Violet Promo Cards); 1st Edition (Neo Genesis); Normal (Skyridge); Normal (Pokemon GO); Holofoil (SV: Paldean Fates)
85,Typhlosion,28/165,Expedition,Holofoil,7,"Holo scratch, back scratch, right side indent",6,81.25,81.25,2,medium,7,,,0,low,8,188.80,192.50,8,high,101.00,20,,,,Y,Holofoil (SWSH: Sword & Shield Promo Cards); Holofoil (SM Promos); Holofoil (HGSS Promos); Holofoil (Sandstorm); Holofoil (SM - Lost Thunder); Normal (Call of Legends); Normal (HeartGold SoulSilver); Holofoil (XY - BREAKthrough); Holofoil (SWSH10: Astral Radiance); Holofoil (SV10: Destined Rivals); Holofoil (Unseen Forces); Holofoil (SWSH10: Astral Radiance); Holofoil (Mysterious Treasures); Holofoil (Dragon Frontiers); Normal (World Championship Decks); Holofoil (HeartGold SoulSilver); Holofoil (Unseen Forces); Normal (Expedition); Normal (Expedition); Holofoil (SWSH10: Astral Radiance); Holofoil (SWSH10: Astral Radiance); Holofoil (Miscellaneous Cards & Products); Holofoil (SWSH10: Astral Radiance); Normal (Deck Exclusives); Holofoil (Miscellaneous Cards & Products); Holofoil (Miscellaneous Cards & Products); Holofoil (SV10: Destined Rivals); Normal (Prize Pack Series Cards); Holofoil (Nintendo Promos); Holofoil (Deck Exclusives); Holofoil (Deck Exclusives); Holofoil (Expedition); Holofoil (Blister Exclusives); 1st Edition Holofoil (Neo Genesis); Normal (Deck Exclusives); 1st Edition Holofoil (Neo Genesis); 1st Edition Holofoil (Neo Destiny); Normal (Miscellaneous Cards & Products)
86,Nidoqueen,H21/H32,Skyridge,Holofoil,9,Back top indent,8,196.63,196.63,2,medium,9,,,0,low,10,,,0,low,96.95,20,,,,Y,Holofoil (SM Promos); Holofoil (SM Promos); Holofoil (Skyridge); Holofoil (FireRed & LeafGreen); Normal (World Championship Decks); Holofoil (Dragon Frontiers); Normal (XY - Primal Clash); Normal (XY - Primal Clash); Normal (SM - Team Up); Normal (Plasma Freeze); Normal (Mysterious Treasures); Normal (World Championship Decks); Normal (Rising Rivals); Normal (World Championship Decks); Normal (Triumphant); 1st Edition (Jungle); Normal (SV10: Destined Rivals); 1st Edition Holofoil (Jungle); Normal (Legendary Collection); Normal (SV: Scarlet & Violet 151); 1st Edition (Gym Challenge); Normal (Skyridge); Holofoil (Base Set 2)
86,Nidoqueen,H21/H32,Skyridge,Holofoil,10,Back top indent,9,,,0,low,10,,,0,low,N/A,,,0,N/A,96.95,20,,,,Y,Holofoil (SM Promos); Holofoil (SM Promos); Holofoil (Skyridge); Holofoil (FireRed & LeafGreen); Normal (World Championship Decks); Holofoil (Dragon Frontiers); Normal (XY - Primal Clash); Normal (XY - Primal Clash); Normal (SM - Team Up); Normal (Plasma Freeze); Normal (Mysterious Treasures); Normal (World Championship Decks); Normal (Rising Rivals); Normal (World Championship Decks); Normal (Triumphant); 1st Edition (Jungle); Normal (SV10: Destined Rivals); 1st Edition Holofoil (Jungle); Normal (Legendary Collection); Normal (SV: Scarlet & Violet 151); 1st Edition (Gym Challenge); Normal (Skyridge); Holofoil (Base Set 2)
87,Golem,148/144,Skyridge,Holofoil,9,Whitening at the back left,8,729.51,917.13,14,high,9,1101.72,1200.00,11,high,10,10558.88,3719.00,3,medium,299.95,20,801.77,781.77,244.3,Y,Holofoil (Dragon); Holofoil (SM - Unbroken Bonds); Holofoil (Legend Maker); Holofoil (Dragon); Normal (XY - Flashfire); Holofoil (Generations); Holofoil (Generations); Holofoil (SM - Guardians Rising); Normal (SM - Team Up); 1st Edition (Fossil); Normal (Hidden Fates); Holofoil (SM - Crimson Invasion); Normal (Secret Wonders); Normal (Rising Rivals); Normal (Arceus); Holofoil (SV: Scarlet & Violet 151); Holofoil (Skyridge); Normal (SWSH08: Fusion Strike); Holofoil (SM - Crimson Invasion); Holofoil (SM - Crimson Invasion); Holofoil (SV: Scarlet & Violet 151); Normal (Expedition); Normal (SV09: Journey Together); Holofoil (Blister Exclusives); Normal (Legendary Collection); 1st Edition (Gym Heroes); Holofoil (Expedition); Normal (League & Championship Cards)
88,Blissey,6/147,Aquapolis,Normal,8,"Light holo scratch, whitening dot at the back",7,,,0,low,8,,,0,low,9,,,0,low,5.02,20,,,,Y,Holofoil (Aquapolis); Normal (Aquapolis)
89,Scizor,H21/H32,Aquapolis,Holofoil,9,Very tiny dot at the back bottom,8,250.81,255.00,6,high,9,448.39,448.39,2,medium,10,,,0,low,180.99,20,267.40,247.40,123.1,Y,Holofoil (Hidden Fates: Shiny Vault); Holofoil (Aquapolis); Holofoil (Boundaries Crossed); Holofoil (SM - Celestial Storm); Holofoil (Undaunted); Holofoil (XY - BREAKpoint); Holofoil (XY - BREAKpoint); Holofoil (Undaunted); Normal (Rising Rivals); Normal (WoTC Promo); 1st Edition (Neo Discovery); Normal (Majestic Dawn); Normal (World Championship Decks); Normal (Stormfront); Holofoil (SV03: Obsidian Flames); Holofoil (SV05: Temporal Forces); Holofoil (SWSH03: Darkness Ablaze); Holofoil (SV: Paldean Fates); Holofoil (SWSH03: Darkness Ablaze); Holofoil (SM - Celestial Storm); Holofoil (SM - Celestial Storm); Holofoil (Miscellaneous Cards & Products); Holofoil (Miscellaneous Cards & Products); Holofoil (SV03: Obsidian Flames); Normal (SWSH02: Rebel Clash); Holofoil (SM - Lost Thunder); Holofoil (XY - BREAKpoint); Holofoil (SWSH03: Darkness Ablaze); Holofoil (XY - BREAKpoint); Holofoil (SWSH03: Darkness Ablaze); Holofoil (SV05: Temporal Forces); Normal (XY - BREAKpoint); Holofoil (Unseen Forces); Holofoil (Team Rocket Returns); 1st Edition Holofoil (Neo Discovery); Holofoil (Blister Exclusives); Normal (Crown Zenith); Holofoil (Jumbo Cards); Normal (Aquapolis); 1st Edition Holofoil (Neo Destiny); Normal (Best of Promos); Normal (Best of Promos)
89,Scizor,H21/H32,Aquapolis,Holofoil,10,Very tiny dot at the back bottom,9,448.39,448.39,2,medium,10,,,0,low,N/A,,,0,N/A,180.99,20,,,,Y,Holofoil (Hidden Fates: Shiny Vault); Holofoil (Aquapolis); Holofoil (Boundaries Crossed); Holofoil (SM - Celestial Storm); Holofoil (Undaunted); Holofoil (XY - BREAKpoint); Holofoil (XY - BREAKpoint); Holofoil (Undaunted); Normal (Rising Rivals); Normal (WoTC Promo); 1st Edition (Neo Discovery); Normal (Majestic Dawn); Normal (World Championship Decks); Normal (Stormfront); Holofoil (SV03: Obsidian Flames); Holofoil (SV05: Temporal Forces); Holofoil (SWSH03: Darkness Ablaze); Holofoil (SV: Paldean Fates); Holofoil (SWSH03: Darkness Ablaze); Holofoil (SM - Celestial Storm); Holofoil (SM - Celestial Storm); Holofoil (Miscellaneous Cards & Products); Holofoil (Miscellaneous Cards & Products); Holofoil (SV03: Obsidian Flames); Normal (SWSH02: Rebel Clash); Holofoil (SM - Lost Thunder); Holofoil (XY - BREAKpoint); Holofoil (SWSH03: Darkness Ablaze); Holofoil (XY - BREAKpoint); Holofoil (SWSH03: Darkness Ablaze); Holofoil (SV05: Temporal Forces); Normal (XY - BREAKpoint); Holofoil (Unseen Forces); Holofoil (Team Rocket Returns); 1st Edition Holofoil (Neo Discovery); Holofoil (Blister Exclusives); Normal (Crown Zenith); Holofoil (Jumbo Cards); Normal (Aquapolis); 1st Edition Holofoil (Neo Destiny); Normal (Best of Promos); Normal (Best of Promos)
90,Nidoking,150/147,Aquapolis,Holofoil,9,Tiny dot at the corner back,8,1290.84,1299.99,13,high,9,1927.39,1785.00,15,high,10,6715.00,6350.00,3,medium,483.33,20,1444.06,1424.06,282.9,Y,Holofoil (Aquapolis); Holofoil (FireRed & LeafGreen); Holofoil (Triumphant); Holofoil (Dragon Frontiers); Normal (SM - Team Up); Normal (Plasma Freeze); Holofoil (XY - Evolutions); Normal (XY - Steam Siege); Holofoil (XY - Evolutions); Normal (Secret Wonders); Normal (Rising Rivals); Holofoil (SV10: Destined Rivals); Holofoil (SV: Scarlet & Violet Promo Cards); Holofoil (SV10: Destined Rivals); Holofoil (SV: Scarlet & Violet 151); Holofoil (Aquapolis); Holofoil (Prize Pack Series Cards); Holofoil (SV10: Destined Rivals); Normal (Deck Exclusives); Holofoil (SV: Scarlet & Violet 151); Normal (Legendary Collection); Normal (Aquapolis); Holofoil (Base Set 2); Holofoil (Base Set); 1st Edition Holofoil (Base Set (Shadowless)); 1st Edition Holofoil (Gym Challenge); Holofoil (Deck Exclusives); Normal (Deck Exclusives); Normal (Miscellaneous Cards & Products)
90,Nidoking,150/147,Aquapolis,Holofoil,10,Tiny dot at the corner back,9,1927.39,1785.00,15,high,10,6715.00,6350.00,3,medium,N/A,,,0,N/A,483.33,20,6231.67,6211.67,1234.1,Y,Holofoil (Aquapolis); Holofoil (FireRed & LeafGreen); Holofoil (Triumphant); Holofoil (Dragon Frontiers); Normal (SM - Team Up); Normal (Plasma Freeze); Holofoil (XY - Evolutions); Normal (XY - Steam Siege); Holofoil (XY - Evolutions); Normal (Secret Wonders); Normal (Rising Rivals); Holofoil (SV10: Destined Rivals); Holofoil (SV: Scarlet & Violet Promo Cards); Holofoil (SV10: Destined Rivals); Holofoil (SV: Scarlet & Violet 151); Holofoil (Aquapolis); Holofoil (Prize Pack Series Cards); Holofoil (SV10: Destined Rivals); Normal (Deck Exclusives); Holofoil (SV: Scarlet & Violet 151); Normal (Legendary Collection); Normal (Aquapolis); Holofoil (Base Set 2); Holofoil (Base Set); 1st Edition Holofoil (Base Set (Shadowless)); 1st Edition Holofoil (Gym Challenge); Holofoil (Deck Exclusives); Normal (Deck Exclusives); Normal (Miscellaneous Cards & Products)
91,Blissey,H6/H32,Aquapolis,Holofoil,9,Back tiny dot on left,8,90.00,90.00,1,low,9,65.99,76.99,3,medium,10,,,0,low,119.99,20,-54.00,-74.00,-52.9,Y,Holofoil (Aquapolis); Normal (Aquapolis)
91,Blissey,H6/H32,Aquapolis,Holofoil,10,Back tiny dot on left,9,65.99,76.99,3,medium,10,,,0,low,N/A,,,0,N/A,119.99,20,,,,Y,Holofoil (Aquapolis); Normal (Aquapolis)
92,Tyranitar,40/147,Aquapolis,Normal,6,"Front (top, left indent, deep scratch), back (whitening)",5,,,0,low,6,,,0,low,7,,,0,low,240.89,20,,,,Y,Holofoil (Aquapolis); Normal (Aquapolis)
93,Alakazam,1/165,Expedition,Holofoil,7,"Top front indent, ink stain, back whitening dot corner and right, light scratch",6,128.20,113.61,3,medium,7,212.49,210.00,4,medium,8,240.50,287.50,4,medium,220.33,20,-7.84,-27.84,-11.6,Y,Normal (Expedition); Holofoil (Expedition)
93,Alakazam,1/165,Expedition,Holofoil,8,"Top front indent, ink stain, back whitening dot corner and right, light scratch",7,212.49,210.00,4,medium,8,240.50,287.50,4,medium,9,401.12,425.00,7,high,220.33,20,20.17,0.17,0.1,Y,Normal (Expedition); Holofoil (Expedition)
94,Charizard,6/165,Expedition,Holofoil,6,"Top indent, holo light scratch, back whitening and indent dot, scratch",5,425.00,425.00,1,low,6,460.08,476.38,6,high,7,642.00,650.00,3,medium,347.49,20,112.59,92.59,25.2,Y,Normal (Expedition); Normal (Expedition); Holofoil (Expedition)
95,Jumpluff,7/111,Neo Genesis,1st Edition Holofoil,10,,9,,,0,low,10,,,0,low,N/A,,,0,N/A,27.87,20,,,,Y,1st Edition Holofoil (Neo Genesis)
96,Pichu,12/111,Neo Genesis,1st Edition Holofoil,7,"Holo scratch, back whitening",6,157.59,53.00,5,high,7,138.12,79.99,7,high,8,237.40,262.41,20,high,267.50,20,-129.38,-149.38,-52.0,Y,Normal (Mysterious Treasures); Normal (Holon Phantoms); Normal (Emerald); Normal (Stormfront); Reverse Holofoil (WoTC Promo); Holofoil (Nintendo Promos); Normal (World Championship Decks); Normal (HeartGold SoulSilver); Normal (Arceus); Normal (Miscellaneous Cards & Products); Normal (Power Keepers); Normal (Sandstorm); Normal (SV10: Destined Rivals); Normal (Expedition); Reverse Holofoil (Burger King Promos); Holofoil (Expedition); Normal (POP Series 3); 1st Edition Holofoil (Neo Genesis); Normal (POP Series 9)
97,Hitmonlee,13/110,Legendary Collection,Holofoil,9,Tiny dot at corner back,8,,,0,low,9,,,0,low,10,,,0,low,31.76,20,,,,Y,Holofoil (HGSS Promos); Normal (SM - Team Up); Normal (Call of Legends); Normal (Undaunted); Normal (Generations); Normal (XY - Furious Fists); Normal (Unseen Forces); 1st Edition (Fossil); Normal (SV: Scarlet & Violet 151); Normal (Legends Awakened); Normal (SWSH01: Sword & Shield Base Set); Normal (Expedition); 1st Edition Holofoil (Fossil); 1st Edition (Neo Destiny); Holofoil (Legendary Collection); Holofoil (Trading Card Game Classic)
97,Hitmonlee,13/110,Legendary Collection,Holofoil,10,Tiny dot at corner back,9,,,0,low,10,,,0,low,N/A,,,0,N/A,31.76,20,,,,Y,Holofoil (HGSS Promos); Normal (SM - Team Up); Normal (Call of Legends); Normal (Undaunted); Normal (Generations); Normal (XY - Furious Fists); Normal (Unseen Forces); 1st Edition (Fossil); Normal (SV: Scarlet & Violet 151); Normal (Legends Awakened); Normal (SWSH01: Sword & Shield Base Set); Normal (Expedition); 1st Edition Holofoil (Fossil); 1st Edition (Neo Destiny); Holofoil (Legendary Collection); Holofoil (Trading Card Game Classic)
98,Azumarill,2/111,Neo Genesis,1st Edition Holofoil,9,Holo printline,8,,,0,low,9,,,0,low,10,,,0,low,57.73,20,,,,Y,1st Edition Holofoil (Neo Genesis)
